parish_name,parish_page_title,parish_page_url,overview,services,branch_name,address,phones,email,status,hours,raw_text
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,Parish Library,"P.O. Box 84, May Pen, Clarendon",(876) 902-6294 / 986-2376; (876) 902-3160,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 9:00 am - 3:00 pm,"P.O. Box 84
May Pen, Clarendon
(876) 902-6294 / 986-2376
(876) 902-3160
[email protected]
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
9:00 am - 3:00 pm"
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,Clare McWhinnie,"Race Course P.O., Clarendon",(876) 987-5525,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 9:00 am - 3:00 pm,"Race Course P.O., Clarendon
(876) 987-5525
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
9:00 am - 3:00 pm"
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,Chapelton,"Chapelton, Clarendon",(876) 987-2217,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 9:00 am - 3:00 pm,"Chapelton, Clarendon
(876) 987-2217
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
9:00 am - 3:00 pm"
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,Frankfield,"Frankfield P.O., Clarendon",(876) 904-4881,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 9:00 am - 3:00 pm,"Frankfield P.O., Clarendon
(876) 904-4881
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
9:00 am - 3:00 pm"
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,James Hill (Part-Time),"James Hill P.O., Clarendon",(876) 902-8782,,Part-Time; Closed,Monday - Friday | 11:00 am - 5:00 pm | Saturday (Closed),"James Hill P.O., Clarendon
(876) 902-8782
Monday - Friday
11:00 am - 5:00 pm
Saturday (Closed)"
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,Kellits,"Kellits P.O., Clarendon",(876) 966-8539,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 9:00 am - 3:00 pm,"Kellits P.O., Clarendon
(876) 966-8539
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
9:00 am - 3:00 pm"
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,Lionel Town,"Lionel Town P.O., Clarendon",(876) 986-3298,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 9:00 am - 3:00 pm,"Lionel Town P.O., Clarendon
(876) 986-3298
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
9:00 am - 3:00 pm"
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,Monymusk (Part-Time),"Monymusk P.O., Clarendon",(876) 968-3015,,Part-Time; Closed,Monday - Friday | 11:00 am - 5:00 pm | Saturday (Closed) | Pennants (Closed),"Monymusk P.O., Clarendon
(876) 968-3015
Monday - Friday
11:00 am - 5:00 pm
Saturday (Closed)
Pennants (Closed)"
Clarendon Network,Clarendon Parish Library Network,https://www.jls.gov.jm/clarendon-parish-library/,"The public library service for Clarendon began in 1951 when a small library was established at the back of the stands of the Muir Park Pavilion in May Pen, the chief town or capital. This small building erected at the cost of six hundred dollars ($600.00), was a fine example of community initiative and effort. The Parish Library Committee planned and constructed the building and many residents contributed gifts of materials and cash. There were one thousand three hundred and thirty (1,330) books and six hundred and twenty (620) readers.",,Spalding,"Spalding P.O., Clarendon",(876) 964-0203,,,Monday - Thursday | 9:00 am - 5:00 pm | Friday | 9:00 am - 4:00 pm | Saturday | 9:00 am - 3:00 pm,"Spalding P.O., Clarendon
(876) 964-0203
Monday - Thursday
9:00 am - 5:00 pm
Friday
9:00 am - 4:00 pm
Saturday
9:00 am - 3:00 pm"
Hanover Network,Hanover Parish Library Network,https://www.jls.gov.jm/hanover-parish-library/,"Set against the blue- green Caribbean the Hanover Parish Library in Lucea offers a constant invitation to young and old to access information in its spacious rooms. The building was erected in two stages, the first wing in 1963 and the second in 1965. Built at a total cost of thirty-five thousand dollars ($35,000), it was designed by the firm of Harold Ashwell and Associates who pioneered the design of public library buildings in Jamaica.Notably, the main feature of the Ashwell-designed public library was the level which provided maximum ventilation and light without reducing the wall area available for shelving. The books were also protected from direct sunlight by this positioning of the windows.",Mobile Library Service; ICT Access; Free Wifi Access; Printing & Photocopying; Scanning & Facsimile; Spiral Binding; Reference; Research & Lending,Parish Library,"Watson Taylor Drive, P.O. Box 99",,,,,"Watson Taylor Drive
P.O. Box 99"
